category,opendb_id,buildcores_id,name,part_numbers,on_current_feed,in_local_checkout_before,has_any_picture
CaseFan,20b8af33-17ff-4658-aa26-e24be227cdd8,6njhkjlfp,NZXT F120P (2022) 120mm White PWM 78.02 CFM,RF-P12SF-W1,False,True,True
CaseFan,dd7f1b55-9062-4d6f-a702-8c441fc149d0,aa5oaiob3,NZXT F360 RGB Black (2026),,True,False,True
CaseFan,73931c82-b4e6-4133-9777-b28100664b46,0p6jtgiq8,NZXT Aer RGB 140mm Black PWM Addressable RGB 71.6 CFM 3-Pack,HF-28140-B1,False,True,True
CaseFan,9dbe0664-d69f-471b-8c66-26ab4c65ce2e,95y3ve4ei,NZXT F120Q (2022) 64 CFM 120mm Black PWM 1-Pack,RF-Q12SF-B1,False,True,True
CaseFan,9d3646b4-3f1d-48d7-bb27-7cc5eb7deb9c,hed4mrlp3,NZXT F360 RGB White (2026),,True,False,True
CaseFan,310cdadd-e3e5-449c-8564-a725a3597bcd,j82gb4kxp,NZXT F140P 140mm Black PWM (2022) 99.68 CFM,RF-P14SF-B1,False,True,True
CaseFan,495ac577-37f2-438d-8f88-78a21b518cf9,bez1fdg1h,NZXT F420 RGB White (2026),,True,False,True
CaseFan,dc7052d1-838b-469f-969f-21b27fbcd8af,tdndtch1p,NZXT F140U 140mm Ultra RGB Fan White,,True,False,True
CaseFan,8c39bd60-0f15-42b4-bf58-2593d18c91d2,1ofyxt4hl,NZXT F120P (2024) 120mm White PWM,RF-P12SF-W2,True,True,True
CaseFan,3dcc94ad-6b91-4611-8f14-f7e596d2bcc4,iifjwai8y,NZXT AER RGB 2 120mm White Addressable RGB PWM 52.44 CFM 3-Pack,HF-28120-BW,False,True,True
CaseFan,1838cc22-1590-48ae-b412-5fb78453ce85,8qywm7j0q,NZXT F140Q 140mm White PWM (2022) 101 CFM,RF-Q14SF-W1,False,True,True
CaseFan,a6e84ed7-0a1b-4ead-88f5-f92484f6c9b5,nmkjot3ig,NZXT Aer F 63.02 CFM 120 mm Fans 2-Pack,,False,True,True
CaseFan,827c6784-9803-46d8-ab58-389ae0272d71,fyuk7mhze,NZXT F140P (2024) 140mm White PWM,RF-P14SF-W2,True,True,True
